Datums;AdministrativiTeritorialasVienibasNosaukums;ATVK;ApstiprinataCOVID19infekcija;14DienuKumulativaSaslimstiba
2021.07.01.;Adrese nav norādīta;Nav;…;…
2021.07.01.;Aizkraukles novads;0020000;0;8
2021.07.01.;Alūksnes novads;0021000;0;no 1 līdz 5
2021.07.01.;Augšdaugavas novads;0022000;no 1 līdz 5;33
2021.07.01.;Ādažu novads;0023000;no 1 līdz 5;12
2021.07.01.;Balvu novads;0024000;0;no 1 līdz 5
2021.07.01.;Bauskas novads;0025000;0;20
2021.07.01.;Cēsu novads;0026000;0;no 1 līdz 5
2021.07.01.;Daugavpils pilsēta;0002000;no 1 līdz 5;63
2021.07.01.;Dienvidkurzemes novads;0027000;0;16
2021.07.01.;Dobeles novads;0028000;0;12
2021.07.01.;Gulbenes novads;0029000;0;0
2021.07.01.;Jelgavas novads;0030000;no 1 līdz 5;7
2021.07.01.;Jelgavas pilsēta;0003000;0;22
2021.07.01.;Jēkabpils novads;0031000;0;17
2021.07.01.;Jūrmalas pilsēta;0004000;no 1 līdz 5;19
2021.07.01.;Krāslavas novads;0032000;no 1 līdz 5;7
2021.07.01.;Kuldīgas novads;0033000;no 1 līdz 5;16
2021.07.01.;Ķekavas novads;0034000;no 1 līdz 5;18
2021.07.01.;Liepājas pilsēta;0005000;no 1 līdz 5;19
2021.07.01.;Limbažu novads;0035000;no 1 līdz 5;14
2021.07.01.;Līvānu novads;0036000;no 1 līdz 5;8
2021.07.01.;Ludzas novads;0037000;0;12
2021.07.01.;Madonas novads;0038000;no 1 līdz 5;7
2021.07.01.;Mārupes novads;0039000;0;17
2021.07.01.;Ogres novads;0040000;0;13
2021.07.01.;Olaines novads;0041000;no 1 līdz 5;12
2021.07.01.;Preiļu novads;0042000;0;13
2021.07.01.;Rēzeknes novads;0043000;no 1 līdz 5;18
2021.07.01.;Rēzeknes pilsēta;0006000;no 1 līdz 5;9
2021.07.01.;Rīga;0001000;35;369
2021.07.01.;Ropažu novads;0044000;0;13
2021.07.01.;Salaspils novads;0045000;no 1 līdz 5;13
2021.07.01.;Saldus novads;0046000;0;no 1 līdz 5
2021.07.01.;Saulkrastu novads;0047000;0;7
2021.07.01.;Siguldas novads;0048000;6;44
2021.07.01.;Smiltenes novads;0049000;0;no 1 līdz 5
2021.07.01.;Talsu novads;0051000;no 1 līdz 5;6
2021.07.01.;Tukuma novads;0052000;0;15
2021.07.01.;Valkas novads;0053000;0;no 1 līdz 5
2021.07.01.;Valmieras novads;0054000;no 1 līdz 5;28
2021.07.01.;Varakļānu novads;0055000;0;0
2021.07.01.;Ventspils novads;0056000;0;no 1 līdz 5
2021.07.01.;Ventspils pilsēta;0007000;no 1 līdz 5;22
2021.07.02.;Adrese nav norādīta;Nav;…;…
2021.07.02.;Aizkraukles novads;0020000;0;no 1 līdz 5
2021.07.02.;Alūksnes novads;0021000;no 1 līdz 5;no 1 līdz 5
2021.07.02.;Augšdaugavas novads;0022000;no 1 līdz 5;30
2021.07.02.;Ādažu novads;0023000;no 1 līdz 5;9
2021.07.02.;Balvu novads;0024000;0;no 1 līdz 5
2021.07.02.;Bauskas novads;0025000;0;18
2021.07.02.;Cēsu novads;0026000;no 1 līdz 5;no 1 līdz 5
2021.07.02.;Daugavpils pilsēta;0002000;no 1 līdz 5;55
2021.07.02.;Dienvidkurzemes novads;0027000;0;14
2021.07.02.;Dobeles novads;0028000;no 1 līdz 5;13
2021.07.02.;Gulbenes novads;0029000;0;0
2021.07.02.;Jelgavas novads;0030000;no 1 līdz 5;6
2021.07.02.;Jelgavas pilsēta;0003000;0;20
2021.07.02.;Jēkabpils novads;0031000;no 1 līdz 5;18
2021.07.02.;Jūrmalas pilsēta;0004000;no 1 līdz 5;15
2021.07.02.;Krāslavas novads;0032000;no 1 līdz 5;6
2021.07.02.;Kuldīgas novads;0033000;no 1 līdz 5;15
2021.07.02.;Ķekavas novads;0034000;no 1 līdz 5;18
2021.07.02.;Liepājas pilsēta;0005000;no 1 līdz 5;16
2021.07.02.;Limbažu novads;0035000;no 1 līdz 5;14
2021.07.02.;Līvānu novads;0036000;no 1 līdz 5;no 1 līdz 5
2021.07.02.;Ludzas novads;0037000;0;12
2021.07.02.;Madonas novads;0038000;no 1 līdz 5;7
2021.07.02.;Mārupes novads;0039000;0;16
2021.07.02.;Ogres novads;0040000;no 1 līdz 5;13
2021.07.02.;Olaines novads;0041000;no 1 līdz 5;11
2021.07.02.;Preiļu novads;0042000;no 1 līdz 5;9
2021.07.02.;Rēzeknes novads;0043000;no 1 līdz 5;13
2021.07.02.;Rēzeknes pilsēta;0006000;no 1 līdz 5;9
2021.07.02.;Rīga;0001000;48;353
2021.07.02.;Ropažu novads;0044000;0;12
2021.07.02.;Salaspils novads;0045000;no 1 līdz 5;13
2021.07.02.;Saldus novads;0046000;0;no 1 līdz 5
2021.07.02.;Saulkrastu novads;0047000;0;6
2021.07.02.;Siguldas novads;0048000;9;39
2021.07.02.;Smiltenes novads;0049000;0;no 1 līdz 5
2021.07.02.;Talsu novads;0051000;no 1 līdz 5;7
2021.07.02.;Tukuma novads;0052000;no 1 līdz 5;19
2021.07.02.;Valkas novads;0053000;0;no 1 līdz 5
2021.07.02.;Valmieras novads;0054000;no 1 līdz 5;27
2021.07.02.;Varakļānu novads;0055000;0;0
2021.07.02.;Ventspils novads;0056000;0;no 1 līdz 5
2021.07.02.;Ventspils pilsēta;0007000;7;24
2021.07.03.;Adrese nav norādīta;Nav;…;…
2021.07.03.;Aizkraukles novads;0020000;0;no 1 līdz 5
2021.07.03.;Alūksnes novads;0021000;no 1 līdz 5;no 1 līdz 5
2021.07.03.;Augšdaugavas novads;0022000;no 1 līdz 5;30
2021.07.03.;Ādažu novads;0023000;no 1 līdz 5;9
2021.07.03.;Balvu novads;0024000;no 1 līdz 5;no 1 līdz 5
2021.07.03.;Bauskas novads;0025000;0;17
2021.07.03.;Cēsu novads;0026000;no 1 līdz 5;no 1 līdz 5
2021.07.03.;Daugavpils pilsēta;0002000;no 1 līdz 5;56
2021.07.03.;Dienvidkurzemes novads;0027000;0;10
2021.07.03.;Dobeles novads;0028000;no 1 līdz 5;9
2021.07.03.;Gulbenes novads;0029000;0;0
2021.07.03.;Jelgavas novads;0030000;no 1 līdz 5;6
2021.07.03.;Jelgavas pilsēta;0003000;no 1 līdz 5;22
2021.07.03.;Jēkabpils novads;0031000;no 1 līdz 5;17
2021.07.03.;Jūrmalas pilsēta;0004000;no 1 līdz 5;16
2021.07.03.;Krāslavas novads;0032000;no 1 līdz 5;8
2021.07.03.;Kuldīgas novads;0033000;6;16
2021.07.03.;Ķekavas novads;0034000;no 1 līdz 5;17
2021.07.03.;Liepājas pilsēta;0005000;no 1 līdz 5;15
2021.07.03.;Limbažu novads;0035000;no 1 līdz 5;13
2021.07.03.;Līvānu novads;0036000;no 1 līdz 5;no 1 līdz 5
2021.07.03.;Ludzas novads;0037000;0;8
2021.07.03.;Madonas novads;0038000;no 1 līdz 5;8
2021.07.03.;Mārupes novads;0039000;0;14
2021.07.03.;Ogres novads;0040000;no 1 līdz 5;10
2021.07.03.;Olaines novads;0041000;no 1 līdz 5;9
2021.07.03.;Preiļu novads;0042000;no 1 līdz 5;10
2021.07.03.;Rēzeknes novads;0043000;no 1 līdz 5;14
2021.07.03.;Rēzeknes pilsēta;0006000;no 1 līdz 5;9
2021.07.03.;Rīga;0001000;73;348
2021.07.03.;Ropažu novads;0044000;no 1 līdz 5;11
2021.07.03.;Salaspils novads;0045000;no 1 līdz 5;13
2021.07.03.;Saldus novads;0046000;0;no 1 līdz 5
2021.07.03.;Saulkrastu novads;0047000;0;no 1 līdz 5
2021.07.03.;Siguldas novads;0048000;11;40
2021.07.03.;Smiltenes novads;0049000;no 1 līdz 5;no 1 līdz 5
2021.07.03.;Talsu novads;0051000;no 1 līdz 5;8
2021.07.03.;Tukuma novads;0052000;8;19
2021.07.03.;Valkas novads;0053000;0;no 1 līdz 5
2021.07.03.;Valmieras novads;0054000;no 1 līdz 5;24
2021.07.03.;Varakļānu novads;0055000;0;0
2021.07.03.;Ventspils novads;0056000;0;no 1 līdz 5
2021.07.03.;Ventspils pilsēta;0007000;9;23
2021.07.04.;Adrese nav norādīta;Nav;…;…
2021.07.04.;Aizkraukles novads;0020000;0;no 1 līdz 5
2021.07.04.;Alūksnes novads;0021000;no 1 līdz 5;no 1 līdz 5
2021.07.04.;Augšdaugavas novads;0022000;6;31
2021.07.04.;Ādažu novads;0023000;no 1 līdz 5;7
2021.07.04.;Balvu novads;0024000;no 1 līdz 5;no 1 līdz 5
2021.07.04.;Bauskas novads;0025000;0;15
2021.07.04.;Cēsu novads;0026000;no 1 līdz 5;no 1 līdz 5
2021.07.04.;Daugavpils pilsēta;0002000;no 1 līdz 5;48
2021.07.04.;Dienvidkurzemes novads;0027000;0;9
2021.07.04.;Dobeles novads;0028000;no 1 līdz 5;8
2021.07.04.;Gulbenes novads;0029000;0;0
2021.07.04.;Jelgavas novads;0030000;no 1 līdz 5;6
2021.07.04.;Jelgavas pilsēta;0003000;no 1 līdz 5;22
2021.07.04.;Jēkabpils novads;0031000;no 1 līdz 5;15
2021.07.04.;Jūrmalas pilsēta;0004000;no 1 līdz 5;14
2021.07.04.;Krāslavas novads;0032000;no 1 līdz 5;7
2021.07.04.;Kuldīgas novads;0033000;6;12
2021.07.04.;Ķekavas novads;0034000;no 1 līdz 5;16
2021.07.04.;Liepājas pilsēta;0005000;no 1 līdz 5;15
2021.07.04.;Limbažu novads;0035000;no 1 līdz 5;11
2021.07.04.;Līvānu novads;0036000;no 1 līdz 5;no 1 līdz 5
2021.07.04.;Ludzas novads;0037000;0;8
2021.07.04.;Madonas novads;0038000;no 1 līdz 5;7
2021.07.04.;Mārupes novads;0039000;0;14
2021.07.04.;Ogres novads;0040000;no 1 līdz 5;10
2021.07.04.;Olaines novads;0041000;no 1 līdz 5;10
2021.07.04.;Preiļu novads;0042000;no 1 līdz 5;10
2021.07.04.;Rēzeknes novads;0043000;no 1 līdz 5;13
2021.07.04.;Rēzeknes pilsēta;0006000;no 1 līdz 5;6
2021.07.04.;Rīga;0001000;94;337
2021.07.04.;Ropažu novads;0044000;no 1 līdz 5;12
2021.07.04.;Salaspils novads;0045000;no 1 līdz 5;13
2021.07.04.;Saldus novads;0046000;0;no 1 līdz 5
2021.07.04.;Saulkrastu novads;0047000;0;no 1 līdz 5
2021.07.04.;Siguldas novads;0048000;11;38
2021.07.04.;Smiltenes novads;0049000;no 1 līdz 5;no 1 līdz 5
2021.07.04.;Talsu novads;0051000;no 1 līdz 5;8
2021.07.04.;Tukuma novads;0052000;8;17
2021.07.04.;Valkas novads;0053000;0;no 1 līdz 5
2021.07.04.;Valmieras novads;0054000;no 1 līdz 5;24
2021.07.04.;Varakļānu novads;0055000;0;0
2021.07.04.;Ventspils novads;0056000;0;no 1 līdz 5
2021.07.04.;Ventspils pilsēta;0007000;9;22
2021.07.05.;Adrese nav norādīta;Nav;…;…
2021.07.05.;Aizkraukles novads;0020000;0;no 1 līdz 5
2021.07.05.;Alūksnes novads;0021000;no 1 līdz 5;no 1 līdz 5
2021.07.05.;Augšdaugavas novads;0022000;7;31
2021.07.05.;Ādažu novads;0023000;no 1 līdz 5;6
2021.07.05.;Balvu novads;0024000;no 1 līdz 5;no 1 līdz 5
2021.07.05.;Bauskas novads;0025000;0;15
2021.07.05.;Cēsu novads;0026000;no 1 līdz 5;no 1 līdz 5
2021.07.05.;Daugavpils pilsēta;0002000;no 1 līdz 5;47
2021.07.05.;Dienvidkurzemes novads;0027000;0;7
2021.07.05.;Dobeles novads;0028000;no 1 līdz 5;8
2021.07.05.;Gulbenes novads;0029000;0;0
2021.07.05.;Jelgavas novads;0030000;no 1 līdz 5;6
2021.07.05.;Jelgavas pilsēta;0003000;no 1 līdz 5;21
2021.07.05.;Jēkabpils novads;0031000;no 1 līdz 5;15
2021.07.05.;Jūrmalas pilsēta;0004000;no 1 līdz 5;12
2021.07.05.;Krāslavas novads;0032000;no 1 līdz 5;7
2021.07.05.;Kuldīgas novads;0033000;6;12
2021.07.05.;Ķekavas novads;0034000;no 1 līdz 5;15
2021.07.05.;Liepājas pilsēta;0005000;no 1 līdz 5;15
2021.07.05.;Limbažu novads;0035000;no 1 līdz 5;11
2021.07.05.;Līvānu novads;0036000;no 1 līdz 5;no 1 līdz 5
2021.07.05.;Ludzas novads;0037000;0;8
2021.07.05.;Madonas novads;0038000;no 1 līdz 5;7
2021.07.05.;Mārupes novads;0039000;0;12
2021.07.05.;Ogres novads;0040000;no 1 līdz 5;10
2021.07.05.;Olaines novads;0041000;no 1 līdz 5;9
2021.07.05.;Preiļu novads;0042000;no 1 līdz 5;11
2021.07.05.;Rēzeknes novads;0043000;no 1 līdz 5;13
2021.07.05.;Rēzeknes pilsēta;0006000;no 1 līdz 5;6
2021.07.05.;Rīga;0001000;109;331
2021.07.05.;Ropažu novads;0044000;no 1 līdz 5;11
2021.07.05.;Salaspils novads;0045000;no 1 līdz 5;14
2021.07.05.;Saldus novads;0046000;0;no 1 līdz 5
2021.07.05.;Saulkrastu novads;0047000;0;no 1 līdz 5
2021.07.05.;Siguldas novads;0048000;12;37
2021.07.05.;Smiltenes novads;0049000;no 1 līdz 5;no 1 līdz 5
2021.07.05.;Talsu novads;0051000;no 1 līdz 5;8
2021.07.05.;Tukuma novads;0052000;12;20
2021.07.05.;Valkas novads;0053000;0;no 1 līdz 5
2021.07.05.;Valmieras novads;0054000;no 1 līdz 5;22
2021.07.05.;Varakļānu novads;0055000;0;0
2021.07.05.;Ventspils novads;0056000;0;no 1 līdz 5
2021.07.05.;Ventspils pilsēta;0007000;9;22
2021.07.06.;Adrese nav norādīta;Nav;…;…
2021.07.06.;Aizkraukles novads;0020000;0;no 1 līdz 5
2021.07.06.;Alūksnes novads;0021000;no 1 līdz 5;no 1 līdz 5
2021.07.06.;Augšdaugavas novads;0022000;9;28
2021.07.06.;Ādažu novads;0023000;no 1 līdz 5;7
2021.07.06.;Balvu novads;0024000;no 1 līdz 5;no 1 līdz 5
2021.07.06.;Bauskas novads;0025000;0;11
2021.07.06.;Cēsu novads;0026000;no 1 līdz 5;no 1 līdz 5
2021.07.06.;Daugavpils pilsēta;0002000;no 1 līdz 5;32
2021.07.06.;Dienvidkurzemes novads;0027000;no 1 līdz 5;7
2021.07.06.;Dobeles novads;0028000;no 1 līdz 5;6
2021.07.06.;Gulbenes novads;0029000;no 1 līdz 5;no 1 līdz 5
2021.07.06.;Jelgavas novads;0030000;no 1 līdz 5;no 1 līdz 5
2021.07.06.;Jelgavas pilsēta;0003000;10;23
2021.07.06.;Jēkabpils novads;0031000;no 1 līdz 5;13
2021.07.06.;Jūrmalas pilsēta;0004000;no 1 līdz 5;13
2021.07.06.;Krāslavas novads;0032000;no 1 līdz 5;7
2021.07.06.;Kuldīgas novads;0033000;6;12
2021.07.06.;Ķekavas novads;0034000;no 1 līdz 5;11
2021.07.06.;Liepājas pilsēta;0005000;no 1 līdz 5;13
2021.07.06.;Limbažu novads;0035000;no 1 līdz 5;9
2021.07.06.;Līvānu novads;0036000;no 1 līdz 5;no 1 līdz 5
2021.07.06.;Ludzas novads;0037000;0;7
2021.07.06.;Madonas novads;0038000;no 1 līdz 5;no 1 līdz 5
2021.07.06.;Mārupes novads;0039000;no 1 līdz 5;no 1 līdz 5
2021.07.06.;Ogres novads;0040000;no 1 līdz 5;6
2021.07.06.;Olaines novads;0041000;no 1 līdz 5;8
2021.07.06.;Preiļu novads;0042000;no 1 līdz 5;9
2021.07.06.;Rēzeknes novads;0043000;no 1 līdz 5;12
2021.07.06.;Rēzeknes pilsēta;0006000;no 1 līdz 5;no 1 līdz 5
2021.07.06.;Rīga;0001000;129;321
2021.07.06.;Ropažu novads;0044000;no 1 līdz 5;9
2021.07.06.;Salaspils novads;0045000;no 1 līdz 5;15
2021.07.06.;Saldus novads;0046000;0;0
2021.07.06.;Saulkrastu novads;0047000;0;no 1 līdz 5
2021.07.06.;Siguldas novads;0048000;12;29
2021.07.06.;Smiltenes novads;0049000;no 1 līdz 5;no 1 līdz 5
2021.07.06.;Talsu novads;0051000;no 1 līdz 5;6
2021.07.06.;Tukuma novads;0052000;16;23
2021.07.06.;Valkas novads;0053000;0;no 1 līdz 5
2021.07.06.;Valmieras novads;0054000;6;21
2021.07.06.;Varakļānu novads;0055000;0;0
2021.07.06.;Ventspils novads;0056000;0;no 1 līdz 5
2021.07.06.;Ventspils pilsēta;0007000;11;22
2021.07.07.;Adrese nav norādīta;Nav;…;…
2021.07.07.;Aizkraukles novads;0020000;0;no 1 līdz 5
2021.07.07.;Alūksnes novads;0021000;no 1 līdz 5;no 1 līdz 5
2021.07.07.;Augšdaugavas novads;0022000;11;27
2021.07.07.;Ādažu novads;0023000;no 1 līdz 5;no 1 līdz 5
2021.07.07.;Balvu novads;0024000;no 1 līdz 5;no 1 līdz 5
2021.07.07.;Bauskas novads;0025000;0;8
2021.07.07.;Cēsu novads;0026000;no 1 līdz 5;no 1 līdz 5
2021.07.07.;Daugavpils pilsēta;0002000;no 1 līdz 5;20
2021.07.07.;Dienvidkurzemes novads;0027000;no 1 līdz 5;no 1 līdz 5
2021.07.07.;Dobeles novads;0028000;no 1 līdz 5;6
2021.07.07.;Gulbenes novads;0029000;no 1 līdz 5;no 1 līdz 5
2021.07.07.;Jelgavas novads;0030000;no 1 līdz 5;no 1 līdz 5
2021.07.07.;Jelgavas pilsēta;0003000;10;19
2021.07.07.;Jēkabpils novads;0031000;no 1 līdz 5;11
2021.07.07.;Jūrmalas pilsēta;0004000;no 1 līdz 5;12
2021.07.07.;Krāslavas novads;0032000;no 1 līdz 5;7
2021.07.07.;Kuldīgas novads;0033000;6;10
2021.07.07.;Ķekavas novads;0034000;no 1 līdz 5;11
2021.07.07.;Liepājas pilsēta;0005000;6;12
2021.07.07.;Limbažu novads;0035000;no 1 līdz 5;9
2021.07.07.;Līvānu novads;0036000;no 1 līdz 5;no 1 līdz 5
2021.07.07.;Ludzas novads;0037000;no 1 līdz 5;no 1 līdz 5
2021.07.07.;Madonas novads;0038000;no 1 līdz 5;6
2021.07.07.;Mārupes novads;0039000;no 1 līdz 5;9
2021.07.07.;Ogres novads;0040000;no 1 līdz 5;no 1 līdz 5
2021.07.07.;Olaines novads;0041000;no 1 līdz 5;7
2021.07.07.;Preiļu novads;0042000;no 1 līdz 5;no 1 līdz 5
2021.07.07.;Rēzeknes novads;0043000;no 1 līdz 5;10
2021.07.07.;Rēzeknes pilsēta;0006000;no 1 līdz 5;no 1 līdz 5
2021.07.07.;Rīga;0001000;155;306
2021.07.07.;Ropažu novads;0044000;no 1 līdz 5;8
2021.07.07.;Salaspils novads;0045000;no 1 līdz 5;15
2021.07.07.;Saldus novads;0046000;0;0
2021.07.07.;Saulkrastu novads;0047000;0;no 1 līdz 5
2021.07.07.;Siguldas novads;0048000;16;30
2021.07.07.;Smiltenes novads;0049000;no 1 līdz 5;no 1 līdz 5
2021.07.07.;Talsu novads;0051000;no 1 līdz 5;6
2021.07.07.;Tukuma novads;0052000;18;24
2021.07.07.;Valkas novads;0053000;0;no 1 līdz 5
2021.07.07.;Valmieras novads;0054000;7;21
2021.07.07.;Varakļānu novads;0055000;0;0
2021.07.07.;Ventspils novads;0056000;0;no 1 līdz 5
2021.07.07.;Ventspils pilsēta;0007000;12;21
2021.07.08.;Adrese nav norādīta;Nav;…;…
2021.07.08.;Aizkraukles novads;0020000;0;no 1 līdz 5
2021.07.08.;Alūksnes novads;0021000;no 1 līdz 5;no 1 līdz 5
2021.07.08.;Augšdaugavas novads;0022000;13;28
2021.07.08.;Ādažu novads;0023000;no 1 līdz 5;no 1 līdz 5
2021.07.08.;Balvu novads;0024000;no 1 līdz 5;no 1 līdz 5
2021.07.08.;Bauskas novads;0025000;0;8
2021.07.08.;Cēsu novads;0026000;no 1 līdz 5;no 1 līdz 5
2021.07.08.;Daugavpils pilsēta;0002000;7;19
2021.07.08.;Dienvidkurzemes novads;0027000;no 1 līdz 5;no 1 līdz 5
2021.07.08.;Dobeles novads;0028000;no 1 līdz 5;6
2021.07.08.;Gulbenes novads;0029000;no 1 līdz 5;no 1 līdz 5
2021.07.08.;Jelgavas novads;0030000;no 1 līdz 5;no 1 līdz 5
2021.07.08.;Jelgavas pilsēta;0003000;10;18
2021.07.08.;Jēkabpils novads;0031000;no 1 līdz 5;9
2021.07.08.;Jūrmalas pilsēta;0004000;8;15
2021.07.08.;Krāslavas novads;0032000;8;10
2021.07.08.;Kuldīgas novads;0033000;7;11
2021.07.08.;Ķekavas novads;0034000;no 1 līdz 5;11
2021.07.08.;Liepājas pilsēta;0005000;6;11
2021.07.08.;Limbažu novads;0035000;no 1 līdz 5;11
2021.07.08.;Līvānu novads;0036000;no 1 līdz 5;no 1 līdz 5
2021.07.08.;Ludzas novads;0037000;no 1 līdz 5;no 1 līdz 5
2021.07.08.;Madonas novads;0038000;no 1 līdz 5;7
2021.07.08.;Mārupes novads;0039000;no 1 līdz 5;9
2021.07.08.;Ogres novads;0040000;no 1 līdz 5;no 1 līdz 5
2021.07.08.;Olaines novads;0041000;no 1 līdz 5;7
2021.07.08.;Preiļu novads;0042000;no 1 līdz 5;no 1 līdz 5
2021.07.08.;Rēzeknes novads;0043000;6;10
2021.07.08.;Rēzeknes pilsēta;0006000;no 1 līdz 5;no 1 līdz 5
2021.07.08.;Rīga;0001000;173;313
2021.07.08.;Ropažu novads;0044000;no 1 līdz 5;8
2021.07.08.;Salaspils novads;0045000;no 1 līdz 5;13
2021.07.08.;Saldus novads;0046000;0;0
2021.07.08.;Saulkrastu novads;0047000;0;no 1 līdz 5
2021.07.08.;Siguldas novads;0048000;18;30
2021.07.08.;Smiltenes novads;0049000;no 1 līdz 5;no 1 līdz 5
2021.07.08.;Talsu novads;0051000;no 1 līdz 5;6
2021.07.08.;Tukuma novads;0052000;26;31
2021.07.08.;Valkas novads;0053000;0;0
2021.07.08.;Valmieras novads;0054000;7;21
2021.07.08.;Varakļānu novads;0055000;0;0
2021.07.08.;Ventspils novads;0056000;0;no 1 līdz 5
2021.07.08.;Ventspils pilsēta;0007000;14;23
2021.07.09.;Adrese nav norādīta;Nav;…;…
2021.07.09.;Aizkraukles novads;0020000;0;no 1 līdz 5
2021.07.09.;Alūksnes novads;0021000;no 1 līdz 5;no 1 līdz 5
2021.07.09.;Augšdaugavas novads;0022000;14;29
2021.07.09.;Ādažu novads;0023000;no 1 līdz 5;no 1 līdz 5
2021.07.09.;Balvu novads;0024000;no 1 līdz 5;no 1 līdz 5
2021.07.09.;Bauskas novads;0025000;no 1 līdz 5;9
2021.07.09.;Cēsu novads;0026000;no 1 līdz 5;6
2021.07.09.;Daugavpils pilsēta;0002000;7;19
2021.07.09.;Dienvidkurzemes novads;0027000;no 1 līdz 5;no 1 līdz 5
2021.07.09.;Dobeles novads;0028000;no 1 līdz 5;6
2021.07.09.;Gulbenes novads;0029000;no 1 līdz 5;no 1 līdz 5
2021.07.09.;Jelgavas novads;0030000;no 1 līdz 5;no 1 līdz 5
2021.07.09.;Jelgavas pilsēta;0003000;13;21
2021.07.09.;Jēkabpils novads;0031000;8;12
2021.07.09.;Jūrmalas pilsēta;0004000;8;15
2021.07.09.;Krāslavas novads;0032000;8;10
2021.07.09.;Kuldīgas novads;0033000;7;11
2021.07.09.;Ķekavas novads;0034000;no 1 līdz 5;11
2021.07.09.;Liepājas pilsēta;0005000;7;12
2021.07.09.;Limbažu novads;0035000;no 1 līdz 5;11
2021.07.09.;Līvānu novads;0036000;no 1 līdz 5;no 1 līdz 5
2021.07.09.;Ludzas novads;0037000;no 1 līdz 5;no 1 līdz 5
2021.07.09.;Madonas novads;0038000;no 1 līdz 5;7
2021.07.09.;Mārupes novads;0039000;no 1 līdz 5;9
2021.07.09.;Ogres novads;0040000;no 1 līdz 5;7
2021.07.09.;Olaines novads;0041000;no 1 līdz 5;8
2021.07.09.;Preiļu novads;0042000;no 1 līdz 5;no 1 līdz 5
2021.07.09.;Rēzeknes novads;0043000;7;11
2021.07.09.;Rēzeknes pilsēta;0006000;no 1 līdz 5;no 1 līdz 5
2021.07.09.;Rīga;0001000;192;319
2021.07.09.;Ropažu novads;0044000;no 1 līdz 5;8
2021.07.09.;Salaspils novads;0045000;no 1 līdz 5;13
2021.07.09.;Saldus novads;0046000;0;0
2021.07.09.;Saulkrastu novads;0047000;no 1 līdz 5;no 1 līdz 5
2021.07.09.;Siguldas novads;0048000;19;28
2021.07.09.;Smiltenes novads;0049000;no 1 līdz 5;no 1 līdz 5
2021.07.09.;Talsu novads;0051000;no 1 līdz 5;6
2021.07.09.;Tukuma novads;0052000;27;32
2021.07.09.;Valkas novads;0053000;0;0
2021.07.09.;Valmieras novads;0054000;7;21
2021.07.09.;Varakļānu novads;0055000;0;0
